triangle_id,point_1_x,point_1_y,point_1_z,point_2_x,point_2_y,point_2_z,point_3_x,point_3_y,point_3_z
272,592,176,-4.569729341416193,592,172,-4.60138853315217,588,172,-4.6763856322227095
273,580,160,-4.61668480807827,576,156,-4.533878605485088,576,160,-4.616469478925569
274,552,204,-4.7620504114538,556,208,-4.713897757810611,556,204,-4.763341543259722
275,544,200,-4.796362991225659,548,204,-4.760684442853706,548,200,-4.795490107940562
276,548,200,-4.795490107940562,548,204,-4.760684442853706,552,204,-4.7620504114538
277,552,204,-4.7620504114538,552,208,-4.7144194999372,556,208,-4.713897757810611
278,544,200,-4.796362991225659,548,200,-4.795490107940562,544,196,-4.819705997403525
279,548,160,-4.436603218115862,544,164,-4.515853270245268,548,164,-4.526112117538548
280,548,164,-4.526112117538548,544,164,-4.515853270245268,544,168,-4.6054415900894
281,544,168,-4.6054415900894,540,168,-4.607456804504953,540,172,-4.698425971053864
282,548,160,-4.436603218115862,548,164,-4.526112117538548,552,160,-4.458520572043916
283,540,196,-4.826950592186374,544,200,-4.796362991225659,544,196,-4.819705997403525
284,592,168,-4.632857923336372,588,164,-4.6547907280986704,588,168,-4.700112184549408
285,588,168,-4.700112184549408,588,164,-4.6547907280986704,584,164,-4.677533950100501
286,584,164,-4.677533950100501,584,160,-4.607946212018182,580,160,-4.61668480807827
287,580,160,-4.61668480807827,580,156,-4.5386379830958745,576,156,-4.533878605485088
288,580,208,-4.523856284330507,584,204,-4.50161891301553,580,204,-4.580224136932037
289,580,204,-4.580224136932037,584,204,-4.50161891301553,584,200,-4.550069413174425
290,584,200,-4.550069413174425,588,200,-4.457847683233449,588,196,-4.500674650783178
291,588,196,-4.500674650783178,592,196,-4.395767494292201,592,192,-4.434002053397481
292,552,156,-4.365680881256444,548,160,-4.436603218115862,552,160,-4.458520572043916
293,584,204,-4.50161891301553,588,200,-4.457847683233449,584,200,-4.550069413174425
294,588,164,-4.6547907280986704,584,160,-4.607946212018182,584,164,-4.677533950100501
295,540,192,-4.841338368188536,540,196,-4.826950592186374,544,196,-4.819705997403525
296,588,200,-4.457847683233449,592,196,-4.395767494292201,588,196,-4.500674650783178
297,592,172,-4.60138853315217,592,168,-4.632857923336372,588,168,-4.700112184549408
298,548,204,-4.760684442853706,552,208,-4.7144194999372,552,204,-4.7620504114538
299,576,208,-4.587589840685318,580,208,-4.523856284330507,580,204,-4.580224136932037
300,556,156,-4.396170635994999,552,156,-4.365680881256444,552,160,-4.458520572043916
301,544,164,-4.515853270245268,540,168,-4.607456804504953,544,168,-4.6054415900894
302,584,160,-4.607946212018182,580,156,-4.5386379830958745,580,160,-4.61668480807827
303,596,184,-4.400097181194738,596,180,-4.440429014151131,592,184,-4.504575220209255
304,592,184,-4.504575220209255,596,180,-4.440429014151131,592,180,-4.537650956673592
305,592,180,-4.537650956673592,596,180,-4.440429014151131,592,176,-4.569729341416193
306,592,176,-4.569729341416193,596,176,-4.480779259648028,592,172,-4.60138853315217
307,592,172,-4.60138853315217,596,172,-4.52089971508847,592,168,-4.632857923336372
308,596,184,-4.400097181194738,592,184,-4.504575220209255,592,188,-4.470146333500008
309,596,184,-4.400097181194738,592,188,-4.470146333500008,596,188,-4.359834019381943
310,568,156,-4.497331071490494,564,152,-4.3690764169509855,564,156,-4.466635786257945
311,564,156,-4.466635786257945,564,152,-4.3690764169509855,560,156,-4.431402236550558
312,560,156,-4.431402236550558,560,152,-4.332814705993583,556,156,-4.396170635994999
313,556,156,-4.396170635994999,556,152,-4.2969887409113205,552,156,-4.365680881256444
314,568,152,-4.401457176356621,564,152,-4.3690764169509855,568,156,-4.497331071490494
315,568,152,-4.401457176356621,568,156,-4.497331071490494,572,156,-4.520335958305571
316,568,152,-4.401457176356621,572,156,-4.520335958305571,572,152,-4.426981287541261
317,564,208,-4.695186446701344,568,212,-4.606795158263696,568,208,-4.671836016956487
318,568,208,-4.671836016956487,568,212,-4.606795158263696,572,208,-4.63677315674337
319,572,208,-4.63677315674337,572,212,-4.5706642103335655,576,208,-4.587589840685318
320,576,208,-4.587589840685318,576,212,-4.521780617435198,580,208,-4.523856284330507
321,564,212,-4.632082398211429,568,212,-4.606795158263696,564,208,-4.695186446701344
322,564,212,-4.632082398211429,564,208,-4.695186446701344,560,208,-4.709645707831952
323,564,212,-4.632082398211429,560,208,-4.709645707831952,560,212,-4.647838181227819
324,540,176,-4.7915421696399605,536,180,-4.868287750315821,540,180,-4.846748275106064
325,540,180,-4.846748275106064,536,180,-4.868287750315821,540,184,-4.848900352244629
326,540,184,-4.848900352244629,536,184,-4.869006437247854,540,188,-4.847903938819769
327,540,188,-4.847903938819769,536,188,-4.866400549318936,540,192,-4.841338368188536
328,540,192,-4.841338368188536,536,192,-4.8579547545147985,540,196,-4.826950592186374
329,536,176,-4.803891414651972,536,180,-4.868287750315821,540,176,-4.7915421696399605
330,536,176,-4.803891414651972,540,176,-4.7915421696399605,540,172,-4.698425971053864
